OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_fare_class,line_id,listed_route,route_type_text,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength
62995,8000001-70205-70503-0,Green-E,E,Green Line E,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,6899.196807
62996,8000002-70504-70206-2,Green-E,E,Green Line E,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,6899.196325
62997,8000003,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10323.40167
62998,8000005,Green-C,C,Green Line C,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,8248.335493
62999,8000006,Green-C,C,Green Line C,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,8243.0533
63000,8000007,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19952.10938
63001,8000007-70151-70161-0,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4349.744898
63002,8000007-70187-70161-0,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,5295.276165
63003,8000008-70504-70206-2,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19963.57593
63004,8000009-70205-70503-0,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19963.77711
63005,8000010,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19952.03435
63006,8000010-70160-70150-2,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4349.474189
63007,8000010-70160-70186-2,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,5232.510756
63008,8000011,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10350.65804
63009,8000012,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10350.65763
63010,8000013,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10323.3989
63043,899_0005,Mattapan,,Mattapan Trolley,Rapid Transit,0,https://www.mbta.com/schedules/Mattapan,DA291C,Rapid Transit,line-Mattapan,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4071.812905
63044,899_0008,Mattapan,,Mattapan Trolley,Rapid Transit,0,https://www.mbta.com/schedules/Mattapan,DA291C,Rapid Transit,line-Mattapan,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4067.514302
63047,903_0017,Orange,,Orange Line,Rapid Transit,1,https://www.mbta.com/schedules/Orange,ED8B00,Rapid Transit,line-Orange,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,17767.98749
63048,903_0018,Orange,,Orange Line,Rapid Transit,1,https://www.mbta.com/schedules/Orange,ED8B00,Rapid Transit,line-Orange,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,17767.9886
63064,931_0009,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19115.3072
63065,931_0009-70081-70085-0,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,11814.7527
63066,931_0009-70081-70085-2,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4698.278947
63067,931_0010,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19115.54415
63068,931_0010-70086-70082-0,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4698.515945
63069,931_0010-70086-70082-2,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,11814.53043
63070,933_0009,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,28539.92142
63071,933_0009-70081-70095-0,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,11814.7527
63072,933_0009-70081-70095-2,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,14100.73312
63073,933_0010,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,28539.92127
63074,933_0010-70096-70082-0,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,14100.73309
63075,933_0010-70096-70082-2,Red,,Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,Rapid Transit,line-Red,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,11814.53043
63082,946_0013,Blue,,Blue Line,Rapid Transit,1,https://www.mbta.com/schedules/Blue,003DA5,Rapid Transit,line-Blue,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,9630.119003
63083,946_0014,Blue,,Blue Line,Rapid Transit,1,https://www.mbta.com/schedules/Blue,003DA5,Rapid Transit,line-Blue,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,9630.696673
63084,948_0005,Blue,,Blue Line,Rapid Transit,1,https://www.mbta.com/schedules/Blue,003DA5,Rapid Transit,line-Blue,,"Subway, Metro",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,6151.748521
